time,foot1,foot2,hand1,hand2,pos1,pos2,result,score,bout
3:11:18,as,as,,,,,,,
3:11:19,,,,,,,,,
3:11:20,,,,,,,,,
3:11:21,,,,,,,,,
3:11:22,,,,,,,,,
3:11:23,,,,,,,,,
3:11:24,af,,,,,,,,
3:11:25,,af,,,,,,,
,,,,,,,b,,
,,,,,,,,,14
3:20:01,fs,fs,,,,,,,
3:20:02,,,,,,,,,
3:20:03,,,,,,,,,
3:20:04,,,,,,,,,
3:20:05,,,,,,,,,
3:20:06,,,,,,,,,
3:20:07,,,,,,,,,
3:20:08,,,,,,,,,
3:20:09,,,,,,,,,
3:20:10,ff,,,,,,,,
3:20:11,fs,ff,,,,,,,
3:20:12,,fs,,,,,,,
3:20:13,,,,,,,,,
3:20:14,,,,,,,,,
3:20:15,,,,,,,,,
3:20:16,,,,,,,,,
3:20:17,ff,,,,,,,,
3:20:18,as,,,,,,,,
3:20:19,,,,,,,,,
3:20:20,,,,,,,,,
3:20:21,,,,,,,,,
3:20:22,,ff,,,,,,,
3:20:23,,bs,,,,,,,
3:20:24,,,,,,,,,
3:20:25,,,,,,,,,
3:20:26,,,,,,,,,
3:20:27,af,,,,,,,,
3:20:28,bs,,,,,,,,
3:20:29,,bf,,,,,,,
3:21:00,,bs,,,,,,,
3:21:01,,,,,,,,,
3:21:02,,,,,,,,,
3:21:03,,,,,,,,,
3:21:04,,,,,,,,,
3:21:05,,,,,,,,,
3:21:06,,,,,,,,,
3:21:07,,,,,,,,,
3:21:08,,,,,,,,,
3:21:09,,,,,,,,,
3:21:10,bf,bf,,,,,,,
3:21:11,bs,fs,,,,,,,
3:21:12,,,,,,,,,
3:21:13,,,,,,,,,
3:21:14,,,,,,,,,
3:21:15,,,,,,,,,
3:21:16,,,,,,,,,
3:21:17,,,,,,,,,
3:21:18,,ff,,,,,,,
3:21:19,,fs,,,,,,,
3:21:20,bf,,,,,,,,
3:21:21,bs,,,,,,,,
3:21:22,,,,,,,,,
3:21:23,,,,,,,,,
3:21:24,,,,,,,,,
3:21:25,,,,,,,,,
3:21:26,,,,,,,,,
3:21:27,,,,,,,,,
3:21:28,,,,,,,,,
3:21:29,,,,,,,,,
3:22:00,,,,,,,,,
3:22:01,,,,,,,,,
3:22:02,,ff,,,,,,,
3:22:03,,fs,,,,,,,
3:22:04,,,,,,,,,
3:22:05,,,,,,,,,
3:22:06,,,,,,,,,
3:22:07,,,,,,,,,
3:22:08,,,,,,,,,
3:22:09,,,,,,,,,
3:22:10,bf,,,,,,,,
3:22:11,bs,,,,,,,,
3:22:12,,,,,,,,,
3:22:13,,,,,,,,,
3:22:14,,,,,,,,,
