time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
5:56:13,,,,,,,,,,,
5:56:14,,,,,,,,,,,
5:56:15,,,,,,,,,,,
5:56:16,ff,,,,,,,,,,
5:56:17,fs,,,,,,,,,,
5:56:18,,ff,,,,,,,,,
5:56:19,,as,,,,,,,,,
5:56:20,,,,,,,,,,,
5:56:21,,,,,,,,,,,
5:56:22,,,,,,,,,,,
5:56:23,ff,,,,,,,,,,
5:56:24,bs,,,,,,,,,,
5:56:25,,,,as,,,,,,,
5:56:26,,,ps,,,,,,,,
5:56:27,,,,,,,,,,,
5:56:28,bf,,,,,,,,,,
5:56:29,,,pf,,,,,,,,
5:57:00,,,,,,,,,,,
5:57:01,,af,,h,,,,,,,
,,,,,,,,a,bff,2,
,,,,,,,,,,,16
6:09:23,fs,fs,,,,,,,,,
6:09:24,,,,,,,,,,,
6:09:25,,,,,,,,,,,
6:09:26,,,,,,,,,,,
6:09:27,,,,,,,,,,,
6:09:28,,,,,,,,,,,
6:09:29,,,,,,,,,,,
6:10:00,,,,,,,,,,,
6:10:01,,,,,,,,,,,
6:10:02,,,,,,,,,,,
6:10:03,ff,,,,,,,,,,
6:10:04,as,,,,,,,,,,
6:10:05,,ff,,,,,,,,,
6:10:06,,as,,,,,,,,,
6:10:07,,,,,,,,,,,
6:10:08,,,,,,,,,,,
6:10:09,,,,,,,,,,,
6:10:10,,,,,,,,,,,
6:10:11,,,as,as,,,,,,,
6:10:12,,,,,,,,,,,
6:10:13,,,,,,,,,,,
6:10:14,af,af,h,h,,,,,,,
,,,,,,,,b,ffb,,
,,,,,,,,,,,17
6:19:22,fs,fs,,,,,,,,,
6:19:23,,,,,,,,,,,
6:19:24,,,,,,,,,,,
6:19:25,,,,,,,,,,,
6:19:26,,,,,,,,,,,
6:19:27,,,,,,,,,,,
6:19:28,,,,,,,,,,,
6:19:29,,,,,,,,,,,
6:20:00,,ff,,,,,,,,,
6:20:01,,as,,,,,,,,,
6:20:02,,,,,,,,,,,
6:20:03,,,,,,,,,,,
6:20:04,ff,,,,,,,,,,
6:20:05,bs,,,,,,,,,,
6:20:06,,,,,,,,,,,
6:20:07,,,,,,,,,,,
6:20:08,,,,,,,,,,,
6:20:09,,,,,,,,,,,
6:20:10,,,,,,,,,,,
6:20:11,,,,,,,,,,,
6:20:12,,af,,as,,,,,,,
6:20:13,,,as,,,,,,,,
6:20:14,,,,,,,,,,,
6:20:15,bf,,,,,,,,,,
6:20:16,,,h,h,,,,,,,
,,,,,,,,a,bfa,1,
,,,,,,,,,,,18
6:52:25,fs,fs,,,,,,,,,
6:52:26,,,,,,,,,,,
6:52:27,,,,,,,,,,,
6:52:28,,,,,,,,,,,
6:52:29,,,,,,,,,,,
6:53:00,,,,,,,,,,,
6:53:01,,,,,,,,,,,
6:53:02,,,,,,,,,,,
6:53:03,,,,,,,,,,,
6:53:04,ff,ff,,,,,,,,,
6:53:05,fs,fs,,,,,,,,,
6:53:06,,,,,,,,,,,
6:53:07,,,,,,,,,,,
6:53:08,,,,,,,,,,,
6:53:09,,,,,,,,,,,
6:53:10,,ff,,,,,,,,,
6:53:11,ff,bs,,,,,,,,,
6:53:12,bs,,,,,,,,,,
6:53:13,,,,,,,,,,,
6:53:14,,,,,,,,,,,
6:53:15,,,,,,,,,,,
6:53:16,,,,,,,,,,,
6:53:17,bf,,,,,,,,,,
6:53:18,fs,,,,,,,,,,
6:53:19,,,,,,,,,,,
6:53:20,,,,,,,,,,,
6:53:21,,,,,,,,,,,
6:53:22,,,,,,,,,,,
6:53:23,,,,,,,,,,,
6:53:24,,,,,,,,,,,
6:53:25,,bf,,,,,,,,,
6:53:26,,bs,,,,,,,,,
6:53:27,ff,,,,,,,,,,
6:53:28,fs,,,,,,,,,,
6:53:29,,,,,,,,,,,
6:54:00,,bf,,,,,,,,,
6:54:01,,as,,,,,,,,,
6:54:02,,,,as,,,,,,,
6:54:03,,,,,,,,,,,
6:54:04,,,,,,,,,,,
6:54:05,ff,,ps,,,,,,,,
6:54:06,,,p,,,,,,,,
6:54:07,,,rs,h,,,,,,,
6:54:08,,,,,,,,,,,
6:54:09,,,,,,,,,,,
6:54:10,,af,h,,,,,,,,
,,,,,,,,r,bbbfr,1,
,,,,,,,,,,,19
7:24:13,fs,fs,,,,,,,,,
7:24:14,,,,,,,,,,,
7:24:15,,,,,,,,,,,
7:24:16,,,,,,,,,,,
7:24:17,,,,,,,,,,,
7:24:18,,,,,,,,,,,
7:24:19,,,,,,,,,,,
7:24:20,,,,,,,,,,,
7:24:21,,,,,,,,,,,
7:24:22,ff,ff,,,,,,,,,
7:24:23,as,fs,,,,,,,,,
7:24:24,,,,,,,,,,,
7:24:25,,,,,,,,,,,
7:24:26,,,,,,,,,,,
7:24:27,,,,,,,,,,,
